method,group_type,group_value,n_queries,recall_at_5,recall_at_20,recall_at_100,ceiling_normalized_recall_at_100,ndcg_at_5,ndcg_at_20,ndcg_at_100,candidate_precision,candidate_recall,candidate_f1,candidate_jaccard,retrieved_size,candidate_size
oracle_full_verify_F1000,gold_size_bin,01-02,223,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,1.4394618834080717,1.4394618834080717
oracle_full_verify_F1000,gold_size_bin,03-05,138,0.9963768115942029,0.9963768115942029,0.9963768115942029,0.9963768115942029,0.9973672640487886,0.9973672640487886,0.9973672640487886,1.0,0.9963768115942029,0.9975845410628018,0.9963768115942029,4.159420289855072,4.159420289855072
oracle_full_verify_F1000,gold_size_bin,06-20,159,0.7045462527565746,0.9989517819706499,0.9989517819706499,0.9989517819706499,1.0,0.999322080789154,0.999322080789154,1.0,0.9989517819706499,0.9994282447112636,0.9989517819706499,7.591194968553459,7.591194968553459
oracle_full_verify_F1000,gold_size_bin,101-200,148,0.03599988664703811,0.14313959572820162,0.6923651967794171,0.9590540540540541,0.9932432432432432,0.9896580738721518,0.9661645633570839,0.9932432432432432,0.9462143915704292,0.9589767052061259,0.9462143915704292,95.9054054054054,132.52702702702703
oracle_full_verify_F1000,gold_size_bin,51-100,32,0.049595523994862584,0.19838209597945033,0.9513563469749037,0.9513563469749037,0.96875,0.96875,0.9554650877769765,0.96875,0.9513563469749037,0.957365847990848,0.9513563469749037,93.03125,93.03125
oracle_hybrid_verify_F1000_L10,overall,all,700,0.6809945123467179,0.7773206929075137,0.9278980494646084,0.9842953377664717,0.9931014752414321,0.9919078832598808,0.9862366204170327,0.9942857142857143,0.9815690220775654,0.9848190617087874,0.9815690220775654,27.54,35.28285714285714
oracle_hybrid_verify_F1000_L10,template,_,100,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.98,1.98
oracle_hybrid_verify_F1000_L10,template,_ or _,100,0.9975,0.9975,0.9975,0.9975,0.9983187246372889,0.9983187246372889,0.9983187246372889,1.0,0.9975,0.9985714285714287,0.9975,3.94,3.94
oracle_hybrid_verify_F1000_L10,template,_ or _ or _,100,0.8733333333333332,0.9983333333333333,0.9983333333333333,0.9983333333333333,1.0,0.9989221084547549,0.9989221084547549,1.0,0.9983333333333333,0.999090909090909,0.9983333333333333,5.74,5.74
oracle_hybrid_verify_F1000_L10,template,_ that are also _,100,0.2300283319159232,0.32011332766369277,0.7981753459189257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.97,109.46
oracle_hybrid_verify_F1000_L10,template,_ that are also _ but not _,100,0.039204712628148404,0.1552981893555688,0.7312776669999999,0.9242340310319692,0.9833916020527361,0.9761143497271212,0.9364155098271855,0.99,0.9051498212096233,0.9260710942991734,0.9051498212096233,91.98,116.69
oracle_hybrid_verify_F1000_L10,template,_ that are also both _ and _,100,0.6568952085496204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.19,8.19
oracle_hybrid_verify_F1000_L10,template,_ that are not _,100,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
oracle_hybrid_verify_F1000_L10,gold_size_bin,01-02,223,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,0.9865470852017937,1.4394618834080717,1.4394618834080717
oracle_hybrid_verify_F1000_L10,gold_size_bin,03-05,138,0.9981884057971014,0.9981884057971014,0.9981884057971014,0.9981884057971014,0.9987816845197744,0.9987816845197744,0.9987816845197744,1.0,0.9981884057971014,0.9989648033126294,0.9981884057971014,4.166666666666667,4.166666666666667
oracle_hybrid_verify_F1000_L10,gold_size_bin,06-20,159,0.7045462527565746,0.9989517819706499,0.9989517819706499,0.9989517819706499,1.0,0.999322080789154,0.999322080789154,1.0,0.9989517819706499,0.9994282447112636,0.9989517819706499,7.591194968553459,7.591194968553459
oracle_hybrid_verify_F1000_L10,gold_size_bin,101-200,148,0.03605572761196999,0.1431954366931335,0.6925803931668624,0.9593243243243245,0.9955348662518488,0.9906178038696765,0.9666666768503737,1.0,0.9464295879578744,0.9592662317176367,0.9464295879578744,95.93243243243244,132.55405405405406
oracle_hybrid_verify_F1000_L10,gold_size_bin,51-100,32,0.049595523994862584,0.19838209597945033,0.9513563469749037,0.9513563469749037,0.96875,0.96875,0.9554650877769765,0.96875,0.9513563469749037,0.957365847990848,0.9513563469749037,93.03125,93.03125
oracle_hybrid_verify_F1000_L100,overall,all,700,0.6810917628001071,0.7774698914128508,0.928342823252735,0.9848264069264071,0.9950779986233912,0.9929870389348886,0.9869158760536766,0.9957142857142857,0.9820137958656918,0.9853917977453414,0.9820137958656918,27.59285714285714,35.33571428571429
oracle_hybrid_verify_F1000_L100,template,_,100,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.98,1.98
oracle_hybrid_verify_F1000_L100,template,_ or _,100,0.9975,0.9975,0.9975,0.9975,0.9983187246372889,0.9983187246372889,0.9983187246372889,1.0,0.9975,0.9985714285714287,0.9975,3.94,3.94
